Task,Model,Metric,Value,Fold
MAPK14,mkl,r2_score,-4.9538761277644765,All
MAPK14,mkl,spearman,0.3847673740281846,All
MAPK14,mkl,spearman_p,1.1411631274932545e-15,All
MAPK9,mkl,pearson,0.5435369150582903,All
MAPK9,mkl,pearson_p,2.3487262727520443e-32,All
MAPK9,mkl,r2_score,-1.632164215387998,All
MAPK9,mkl,spearman,0.5465235629140066,All
MAPK9,mkl,spearman_p,9.230019363898153e-33,All
MET,mkl,pearson,0.15364840117702883,All
MET,mkl,pearson_p,0.0019795942811732174,All
MET,mkl,r2_score,-8.616499797436628,All
MET,mkl,spearman,0.19383497008454587,All
MET,mkl,spearman_p,8.990778476941119e-05,All
MRE11A,mkl,pearson,0.035176942936053196,All
MRE11A,mkl,pearson_p,0.4813102996718346,All
MRE11A,mkl,r2_score,-12.636082004273739,All
MRE11A,mkl,spearman,0.05042663675333314,All
MRE11A,mkl,spearman_p,0.3125883312788437,All
MS4A1,mkl,pearson,0.28968889638206513,All
MS4A1,mkl,pearson_p,3.124528474012821e-09,All
MS4A1,mkl,r2_score,-6.556347342946367,All
MS4A1,mkl,spearman,0.2976966745450025,All
MS4A1,mkl,spearman_p,1.0846791124996794e-09,All
MSH2,mkl,pearson,0.6083139168958683,All
MSH2,mkl,pearson_p,3.763573059415948e-42,All
MSH2,mkl,r2_score,-1.4844807366557737,All
MSH2,mkl,spearman,0.5641325057328515,All
MSH2,mkl,spearman_p,3.0821646956379805e-35,All
MSH6,mkl,pearson,0.6834184705502965,All
MSH6,mkl,pearson_p,9.184600903846738e-57,All
MSH6,mkl,r2_score,-0.7362765623504379,All
MSH6,mkl,spearman,0.6406320229702102,All
MSH6,mkl,spearman_p,6.128312411436712e-48,All
MTOR,mkl,pearson,0.40722369946699344,All
MTOR,mkl,pearson_p,1.5718947354794507e-17,All
MTOR,mkl,r2_score,-4.152907304651893,All
MTOR,mkl,spearman,0.41009011172809606,All
MTOR,mkl,spearman_p,8.883129753405435e-18,All
MYC,mkl,pearson,0.18084082369550258,All
MYC,mkl,pearson_p,0.00026304901417667487,All
MYC,mkl,r2_score,-10.118885190581484,All
MYC,mkl,spearman,0.1908316831147658,All
MYC,mkl,spearman_p,0.00011596665835935727,All
MYH11,mkl,pearson,0.3917620065541617,All
MYH11,mkl,pearson_p,3.1106005391013636e-16,All
MYH11,mkl,r2_score,-3.093407789092705,All
MYH11,mkl,spearman,0.4350543338012008,All
MYH11,mkl,spearman_p,4.8584345468157884e-20,All
MYH9,mkl,pearson,0.2946054501688815,All
MYH9,mkl,pearson_p,1.6381908415290888e-09,All
MYH9,mkl,r2_score,-4.938263844090912,All
MYH9,mkl,spearman,0.3208376442305719,All
MYH9,mkl,spearman_p,4.225702929825479e-11,All
NF2,mkl,pearson,0.367484057629683,All
NF2,mkl,pearson_p,2.485743726460188e-14,All
NF2,mkl,r2_score,-5.942564562655254,All
NF2,mkl,spearman,0.4092713850630321,All
NF2,mkl,spearman_p,1.0461756389680928e-17,All
NOTCH1,mkl,pearson,0.380619500952144,All
NOTCH1,mkl,pearson_p,2.430991924555358e-15,All
NOTCH1,mkl,r2_score,-4.366339155723427,All
