Cell Line Id,Primary Site,Actual,Predicted,Drug
HCC1569,BREAST,-0.88034854,-1.4581174835356814,ISPINESIBMESYLATE
HCC1806,BREAST,-3.36369533,-1.6858627132852875,ISPINESIBMESYLATE
JIMT1,BREAST,-2.30655094,-1.2173487146006294,ISPINESIBMESYLATE
MCF7,BREAST,0.48735021,0.08166426841533858,ISPINESIBMESYLATE
MDAMB157,BREAST,0.2123842,-0.5673723501178387,ISPINESIBMESYLATE
MDAMB175VII,BREAST,1.01084939,-1.2301916290589126,ISPINESIBMESYLATE
BT483,BREAST,2.63918709,1.3053475557658818,ISPINESIBMESYLATE
BT549,BREAST,-1.292133070909091,-0.21567917961371896,ISPINESIBMESYLATE
CAL851,BREAST,-2.97402924,-2.718374674023705,ISPINESIBMESYLATE
HCC1954,BREAST,-5.19494969,-2.451566250136417,ISPINESIBMESYLATE
HDQP1,BREAST,0.00104861,-1.5798610172053107,ISPINESIBMESYLATE
MDAMB361,BREAST,0.19826905,0.0955002910836249,ISPINESIBMESYLATE
MDAMB415,BREAST,-1.23970676,-1.8527703839235659,ISPINESIBMESYLATE
MDAMB468,BREAST,-4.82040379,-4.461684623934781,ISPINESIBMESYLATE
UACC893,BREAST,-1.56666667,-1.1160250562333776,ISPINESIBMESYLATE
BT474,BREAST,-0.86225772,-0.7874336430356944,ISPINESIBMESYLATE
CAMA1,BREAST,-1.84917488,-1.3049800201473498,ISPINESIBMESYLATE
EFM192A,BREAST,-0.55469142,-1.8143106735918977,ISPINESIBMESYLATE
EVSAT,BREAST,-2.67997573,-3.08820921327737,ISPINESIBMESYLATE
HCC1187,BREAST,-4.56660239,-1.8325828243550535,ISPINESIBMESYLATE
HCC1395,BREAST,-0.10370094,-0.8657088699902304,ISPINESIBMESYLATE
HCC1599,BREAST,-3.61751028,-2.2770893925348252,ISPINESIBMESYLATE
HCC2157,BREAST,-1.29727608,-2.131521645876437,ISPINESIBMESYLATE
HS578T,BREAST,0.46705453,-0.8827406892243547,ISPINESIBMESYLATE
HCC1143,BREAST,-2.03659361,-1.4240621350779188,ISPINESIBMESYLATE
HCC1419,BREAST,0.9631229,-0.040602024673976445,ISPINESIBMESYLATE
HCC1428,BREAST,0.93657176,-1.489304780413496,ISPINESIBMESYLATE
HCC202,BREAST,-0.76368679,-1.9371084113765635,ISPINESIBMESYLATE
HCC38,BREAST,-1.55449894,-0.669087980644323,ISPINESIBMESYLATE
HCC70,BREAST,-2.29187248,-2.5810671458966947,ISPINESIBMESYLATE
MDAMB436,BREAST,-0.02726496,-1.3452176500519062,ISPINESIBMESYLATE
MDAMB453,BREAST,-2.95771733,-1.9115995562847439,ISPINESIBMESYLATE
UACC812,BREAST,0.47529696,-0.6213694045479801,ISPINESIBMESYLATE
CAL120,BREAST,0.19218089,-1.5029283582498445,ISPINESIBMESYLATE
CAL148,BREAST,-0.46846196,-1.8137137840474016,ISPINESIBMESYLATE
CAL51,BREAST,-0.17221274,-1.8731600920296043,ISPINESIBMESYLATE
DU4475,BREAST,-3.17973647,-1.293435569963546,ISPINESIBMESYLATE
HCC1937,BREAST,-1.1969049,-2.9859945224423052,ISPINESIBMESYLATE
HCC2218,BREAST,-2.37113865,-0.480578598221059,ISPINESIBMESYLATE
MDAMB231,BREAST,-1.58139136,-1.3004273282162544,ISPINESIBMESYLATE
T47D,BREAST,-1.65032329,-0.7725049486693786,ISPINESIBMESYLATE
ZR7530,BREAST,-1.292133070909091,-0.9326950418167606,ISPINESIBMESYLATE
AU565,BREAST,3.15663661,1.8229963024742966,PI103
BT20,BREAST,0.01131751,2.4787121140971102,PI103
EFM19,BREAST,0.78562168,1.4191284423144557,PI103
HCC1500,BREAST,0.31337908,0.6211158693774965,PI103
HCC1569,BREAST,-1.68360756,-0.16747984900559554,PI103
HCC1806,BREAST,3.40495828,1.7336522981670188,PI103
JIMT1,BREAST,0.35680041,1.6110221884208507,PI103
MCF7,BREAST,5.02578686,0.9891933050315754,PI103
MDAMB157,BREAST,2.71492292,2.393295336729275,PI103
MDAMB175VII,BREAST,-1.13283483,1.3772346529680406,PI103
BT483,BREAST,0.02802736,-0.2121789536574794,PI103
BT549,BREAST,1.158450401395349,2.1194202291023543,PI103
CAL851,BREAST,-0.05441647,0.5481080383217649,PI103
HCC1954,BREAST,3.61239044,0.44735215872800804,PI103
HDQP1,BREAST,1.67156599,2.2182594008873253,PI103
MDAMB361,BREAST,3.36136342,1.8672796317529308,PI103
MDAMB415,BREAST,4.1025492,1.789328728551079,PI103
MDAMB468,BREAST,0.56094892,0.09591157882399515,PI103
UACC893,BREAST,0.40014522,0.2549752372238866,PI103
BT474,BREAST,-1.06650222,1.1644335008691566,PI103
CAMA1,BREAST,0.49975269,0.8531807958138488,PI103
EFM192A,BREAST,5.21800625,3.737200028916138,PI103
EVSAT,BREAST,-1.21685718,0.5530780561707533,PI103
HCC1187,BREAST,0.84979956,0.8363764148056472,PI103
HCC1395,BREAST,2.54455158,1.1345510431869732,PI103
HCC1599,BREAST,-0.95642004,-0.3813025922049187,PI103
HCC2157,BREAST,-2.14396388,-0.39561352007533035,PI103
HS578T,BREAST,5.21549565,1.1884672817652466,PI103
HCC1143,BREAST,1.67013283,1.6728945489285802,PI103
HCC1419,BREAST,1.22167388,0.8137529508275734,PI103
HCC1428,BREAST,2.22468996,1.006677638041411,PI103
HCC202,BREAST,1.158450401395349,1.5083167898326688,PI103
HCC38,BREAST,-0.02183782,2.269471094040631,PI103
HCC70,BREAST,0.93409712,2.9996274825465883,PI103
MDAMB436,BREAST,3.13900191,2.1241380793109084,PI103
MDAMB453,BREAST,-0.85254726,1.3508192218184425,PI103
UACC812,BREAST,-0.04076889,-0.8501344635631416,PI103
CAL120,BREAST,-0.79875478,2.1485917208743617,PI103
CAL148,BREAST,1.9032099,-1.2721285789306322,PI103
CAL51,BREAST,1.81881061,0.9490409843387808,PI103
DU4475,BREAST,0.88428494,1.24379215331364,PI103
HCC1937,BREAST,0.32976596,1.861782528292129,PI103
HCC2218,BREAST,-0.31806049,2.079086233149165,PI103
MDAMB231,BREAST,2.36912845,2.662091048232739,PI103
T47D,BREAST,-0.22887651,1.7879213363029867,PI103
ZR7530,BREAST,1.158450401395349,2.525810912671824,PI103
AU565,BREAST,0.34107302,0.24849692501204695,RTRAIL
BT20,BREAST,-0.09794783,-0.36146369957576197,RTRAIL
EFM19,BREAST,1.13163074,1.0989443395588283,RTRAIL
